17/03/16 20:01:23 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/16 20:01:25 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/16 20:01:27 INFO input.FileInputFormat: Total input paths to process : 1
17/03/16 20:01:27 INFO mapreduce.JobSubmitter: number of splits:269
17/03/16 20:01:28 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1637
17/03/16 20:01:28 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1637
17/03/16 20:01:29 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1637/
17/03/16 20:01:29 INFO mapreduce.Job: Running job: job_1488988448355_1637
17/03/17 00:43:50 INFO mapreduce.Job: Job job_1488988448355_1637 running in uber mode : false
17/03/17 00:43:50 INFO mapreduce.Job:  map 0% reduce 0%
17/03/17 01:00:01 INFO mapreduce.Job:  map 1% reduce 0%
17/03/17 01:00:10 INFO mapreduce.Job:  map 2% reduce 0%
17/03/17 01:00:16 INFO mapreduce.Job:  map 3% reduce 0%
17/03/17 01:00:24 INFO mapreduce.Job:  map 4% reduce 0%
17/03/17 01:00:29 INFO mapreduce.Job:  map 5% reduce 0%
17/03/17 01:00:34 INFO mapreduce.Job:  map 6% reduce 0%
17/03/17 01:00:41 INFO mapreduce.Job:  map 7% reduce 0%
17/03/17 01:00:43 INFO mapreduce.Job:  map 8% reduce 0%
17/03/17 01:00:47 INFO mapreduce.Job:  map 9% reduce 0%
17/03/17 01:00:53 INFO mapreduce.Job:  map 10% reduce 3%
17/03/17 01:00:58 INFO mapreduce.Job:  map 11% reduce 3%
17/03/17 01:01:02 INFO mapreduce.Job:  map 12% reduce 3%
17/03/17 01:01:05 INFO mapreduce.Job:  map 12% reduce 4%
17/03/17 01:01:08 INFO mapreduce.Job:  map 13% reduce 4%
17/03/17 01:01:14 INFO mapreduce.Job:  map 14% reduce 4%
17/03/17 01:01:21 INFO mapreduce.Job:  map 15% reduce 4%
17/03/17 01:01:27 INFO mapreduce.Job:  map 16% reduce 4%
17/03/17 01:01:29 INFO mapreduce.Job:  map 16% reduce 5%
17/03/17 01:01:32 INFO mapreduce.Job:  map 17% reduce 5%
17/03/17 01:01:37 INFO mapreduce.Job:  map 18% reduce 5%
17/03/17 01:01:39 INFO mapreduce.Job:  map 18% reduce 6%
17/03/17 01:01:41 INFO mapreduce.Job:  map 19% reduce 6%
17/03/17 01:01:47 INFO mapreduce.Job:  map 20% reduce 6%
17/03/17 01:01:54 INFO mapreduce.Job:  map 21% reduce 6%
17/03/17 01:01:57 INFO mapreduce.Job:  map 21% reduce 7%
17/03/17 01:01:58 INFO mapreduce.Job:  map 22% reduce 7%
17/03/17 01:02:03 INFO mapreduce.Job:  map 23% reduce 7%
17/03/17 01:02:09 INFO mapreduce.Job:  map 24% reduce 7%
17/03/17 01:02:13 INFO mapreduce.Job:  map 25% reduce 8%
17/03/17 01:02:16 INFO mapreduce.Job:  map 26% reduce 8%
17/03/17 01:02:22 INFO mapreduce.Job:  map 27% reduce 8%
17/03/17 01:02:27 INFO mapreduce.Job:  map 28% reduce 8%
