17/03/18 15:06:48 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/18 15:06:49 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/18 15:06:50 INFO input.FileInputFormat: Total input paths to process : 1
17/03/18 15:06:51 INFO mapreduce.JobSubmitter: number of splits:20
17/03/18 15:06:51 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_2476
17/03/18 15:06:52 INFO impl.YarnClientImpl: Submitted application application_1488988448355_2476
17/03/18 15:06:52 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_2476/
17/03/18 15:06:52 INFO mapreduce.Job: Running job: job_1488988448355_2476
17/03/18 16:25:09 INFO mapreduce.Job: Job job_1488988448355_2476 running in uber mode : false
17/03/18 16:25:09 INFO mapreduce.Job:  map 0% reduce 0%
17/03/18 16:27:00 INFO mapreduce.Job:  map 1% reduce 0%
17/03/18 16:27:30 INFO mapreduce.Job:  map 2% reduce 0%
17/03/18 16:27:42 INFO mapreduce.Job:  map 3% reduce 0%
17/03/18 16:27:49 INFO mapreduce.Job:  map 4% reduce 0%
17/03/18 16:27:56 INFO mapreduce.Job:  map 5% reduce 0%
17/03/18 16:28:03 INFO mapreduce.Job:  map 6% reduce 0%
17/03/18 16:28:10 INFO mapreduce.Job:  map 7% reduce 0%
17/03/18 16:28:15 INFO mapreduce.Job:  map 8% reduce 0%
17/03/18 16:28:21 INFO mapreduce.Job:  map 9% reduce 0%
17/03/18 16:28:26 INFO mapreduce.Job:  map 10% reduce 0%
17/03/18 16:28:32 INFO mapreduce.Job:  map 11% reduce 0%
17/03/18 16:28:38 INFO mapreduce.Job:  map 12% reduce 0%
17/03/18 16:28:44 INFO mapreduce.Job:  map 13% reduce 0%
17/03/18 16:28:50 INFO mapreduce.Job:  map 14% reduce 0%
17/03/18 16:28:56 INFO mapreduce.Job:  map 15% reduce 0%
17/03/18 16:29:02 INFO mapreduce.Job:  map 16% reduce 0%
17/03/18 16:29:08 INFO mapreduce.Job:  map 17% reduce 0%
17/03/18 16:29:14 INFO mapreduce.Job:  map 18% reduce 0%
17/03/18 16:29:20 INFO mapreduce.Job:  map 19% reduce 0%
17/03/18 16:29:26 INFO mapreduce.Job:  map 20% reduce 0%
17/03/18 16:29:33 INFO mapreduce.Job:  map 21% reduce 0%
17/03/18 16:29:38 INFO mapreduce.Job:  map 22% reduce 0%
17/03/18 16:29:42 INFO mapreduce.Job:  map 23% reduce 0%
17/03/18 16:29:45 INFO mapreduce.Job:  map 24% reduce 0%
17/03/18 16:29:49 INFO mapreduce.Job:  map 25% reduce 0%
17/03/18 16:29:54 INFO mapreduce.Job:  map 26% reduce 0%
17/03/18 16:30:00 INFO mapreduce.Job:  map 27% reduce 0%
17/03/18 16:30:06 INFO mapreduce.Job:  map 28% reduce 0%
17/03/18 16:30:09 INFO mapreduce.Job:  map 29% reduce 0%
17/03/18 16:30:12 INFO mapreduce.Job:  map 30% reduce 0%
17/03/18 16:30:15 INFO mapreduce.Job:  map 31% reduce 0%
17/03/18 16:30:16 INFO mapreduce.Job:  map 32% reduce 0%
17/03/18 16:30:19 INFO mapreduce.Job:  map 33% reduce 0%
17/03/18 16:30:24 INFO mapreduce.Job:  map 34% reduce 0%
17/03/18 16:30:28 INFO mapreduce.Job:  map 35% reduce 0%
17/03/18 16:30:30 INFO mapreduce.Job:  map 35% reduce 5%
17/03/18 16:30:33 INFO mapreduce.Job:  map 36% reduce 5%
17/03/18 16:30:38 INFO mapreduce.Job:  map 37% reduce 5%
17/03/18 16:30:39 INFO mapreduce.Job:  map 37% reduce 7%
17/03/18 16:30:42 INFO mapreduce.Job:  map 38% reduce 7%
17/03/18 16:30:46 INFO mapreduce.Job:  map 39% reduce 7%
17/03/18 16:30:49 INFO mapreduce.Job:  map 40% reduce 7%
17/03/18 16:30:52 INFO mapreduce.Job:  map 40% reduce 8%
17/03/18 16:30:57 INFO mapreduce.Job:  map 41% reduce 8%
17/03/18 16:31:03 INFO mapreduce.Job:  map 42% reduce 8%
17/03/18 16:31:07 INFO mapreduce.Job:  map 43% reduce 8%
17/03/18 16:31:12 INFO mapreduce.Job:  map 44% reduce 8%
17/03/18 16:31:16 INFO mapreduce.Job:  map 45% reduce 8%
17/03/18 16:31:21 INFO mapreduce.Job:  map 46% reduce 8%
17/03/18 16:31:22 INFO mapreduce.Job:  map 46% reduce 10%
17/03/18 16:31:28 INFO mapreduce.Job:  map 47% reduce 10%
17/03/18 16:31:34 INFO mapreduce.Job:  map 48% reduce 10%
17/03/18 16:31:41 INFO mapreduce.Job:  map 49% reduce 10%
17/03/18 16:31:47 INFO mapreduce.Job:  map 50% reduce 10%
17/03/18 16:31:53 INFO mapreduce.Job:  map 51% reduce 10%
17/03/18 16:31:59 INFO mapreduce.Job:  map 52% reduce 10%
17/03/18 16:32:01 INFO mapreduce.Job:  map 53% reduce 10%
17/03/18 16:32:04 INFO mapreduce.Job:  map 54% reduce 10%
17/03/18 16:32:06 INFO mapreduce.Job:  map 55% reduce 10%
17/03/18 16:32:09 INFO mapreduce.Job:  map 56% reduce 10%
17/03/18 16:32:13 INFO mapreduce.Job:  map 57% reduce 10%
17/03/18 16:32:15 INFO mapreduce.Job:  map 57% reduce 12%
17/03/18 16:32:16 INFO mapreduce.Job:  map 58% reduce 12%
17/03/18 16:32:18 INFO mapreduce.Job:  map 58% reduce 13%
17/03/18 16:32:21 INFO mapreduce.Job:  map 59% reduce 13%
17/03/18 16:32:22 INFO mapreduce.Job:  map 59% reduce 15%
