17/03/18 15:51:14 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/18 15:51:15 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/18 15:51:16 INFO input.FileInputFormat: Total input paths to process : 1
17/03/18 15:51:16 INFO mapreduce.JobSubmitter: number of splits:10
17/03/18 15:51:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_2513
17/03/18 15:51:17 INFO impl.YarnClientImpl: Submitted application application_1488988448355_2513
17/03/18 15:51:18 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_2513/
17/03/18 15:51:18 INFO mapreduce.Job: Running job: job_1488988448355_2513
17/03/18 19:28:36 INFO mapreduce.Job: Job job_1488988448355_2513 running in uber mode : false
17/03/18 19:28:36 INFO mapreduce.Job:  map 0% reduce 0%
17/03/18 19:45:52 INFO mapreduce.Job:  map 1% reduce 0%
17/03/18 19:45:57 INFO mapreduce.Job:  map 2% reduce 0%
17/03/18 19:46:01 INFO mapreduce.Job:  map 3% reduce 0%
17/03/18 19:46:05 INFO mapreduce.Job:  map 4% reduce 0%
17/03/18 19:46:08 INFO mapreduce.Job:  map 5% reduce 0%
17/03/18 19:46:12 INFO mapreduce.Job:  map 6% reduce 0%
17/03/18 19:46:16 INFO mapreduce.Job:  map 7% reduce 0%
17/03/18 19:46:19 INFO mapreduce.Job:  map 8% reduce 0%
17/03/18 19:46:22 INFO mapreduce.Job:  map 9% reduce 0%
17/03/18 19:46:26 INFO mapreduce.Job:  map 10% reduce 0%
17/03/18 19:46:30 INFO mapreduce.Job:  map 11% reduce 0%
17/03/18 19:46:33 INFO mapreduce.Job:  map 12% reduce 0%
17/03/18 19:46:37 INFO mapreduce.Job:  map 13% reduce 0%
17/03/18 19:46:41 INFO mapreduce.Job:  map 14% reduce 0%
17/03/18 19:46:44 INFO mapreduce.Job:  map 15% reduce 0%
17/03/18 19:46:47 INFO mapreduce.Job:  map 16% reduce 0%
17/03/18 19:46:51 INFO mapreduce.Job:  map 17% reduce 0%
17/03/18 19:46:56 INFO mapreduce.Job:  map 18% reduce 0%
17/03/18 19:46:59 INFO mapreduce.Job:  map 19% reduce 0%
17/03/18 19:47:02 INFO mapreduce.Job:  map 20% reduce 0%
17/03/18 19:47:06 INFO mapreduce.Job:  map 21% reduce 0%
17/03/18 19:47:10 INFO mapreduce.Job:  map 22% reduce 0%
17/03/18 19:47:14 INFO mapreduce.Job:  map 23% reduce 0%
17/03/18 19:47:18 INFO mapreduce.Job:  map 24% reduce 0%
17/03/18 19:47:21 INFO mapreduce.Job:  map 25% reduce 0%
17/03/18 19:47:27 INFO mapreduce.Job:  map 26% reduce 0%
17/03/18 19:47:30 INFO mapreduce.Job:  map 27% reduce 0%
17/03/18 19:47:36 INFO mapreduce.Job:  map 28% reduce 0%
17/03/18 19:47:39 INFO mapreduce.Job:  map 29% reduce 0%
17/03/18 19:47:45 INFO mapreduce.Job:  map 30% reduce 0%
17/03/18 19:47:51 INFO mapreduce.Job:  map 31% reduce 0%
17/03/18 19:47:56 INFO mapreduce.Job:  map 32% reduce 0%
17/03/18 19:48:00 INFO mapreduce.Job:  map 33% reduce 0%
17/03/18 19:48:06 INFO mapreduce.Job:  map 34% reduce 0%
17/03/18 19:48:12 INFO mapreduce.Job:  map 35% reduce 0%
17/03/18 19:48:18 INFO mapreduce.Job:  map 36% reduce 0%
17/03/18 19:48:23 INFO mapreduce.Job:  map 37% reduce 0%
17/03/18 19:48:31 INFO mapreduce.Job:  map 38% reduce 0%
17/03/18 19:48:34 INFO mapreduce.Job:  map 39% reduce 0%
17/03/18 19:48:40 INFO mapreduce.Job:  map 40% reduce 0%
17/03/18 19:48:47 INFO mapreduce.Job:  map 41% reduce 0%
17/03/18 19:48:52 INFO mapreduce.Job:  map 42% reduce 0%
17/03/18 19:48:57 INFO mapreduce.Job:  map 43% reduce 0%
17/03/18 19:49:02 INFO mapreduce.Job:  map 44% reduce 0%
17/03/18 19:49:05 INFO mapreduce.Job:  map 45% reduce 0%
17/03/18 19:49:08 INFO mapreduce.Job:  map 46% reduce 0%
17/03/18 19:49:11 INFO mapreduce.Job:  map 47% reduce 0%
17/03/18 19:49:16 INFO mapreduce.Job:  map 48% reduce 0%
17/03/18 19:49:19 INFO mapreduce.Job:  map 49% reduce 0%
17/03/18 19:49:23 INFO mapreduce.Job:  map 50% reduce 0%
17/03/18 19:49:27 INFO mapreduce.Job:  map 51% reduce 0%
17/03/18 19:49:30 INFO mapreduce.Job:  map 52% reduce 0%
17/03/18 19:49:33 INFO mapreduce.Job:  map 53% reduce 0%
17/03/18 19:49:37 INFO mapreduce.Job:  map 54% reduce 0%
17/03/18 19:49:40 INFO mapreduce.Job:  map 55% reduce 0%
17/03/18 19:49:45 INFO mapreduce.Job:  map 56% reduce 0%
17/03/18 19:49:50 INFO mapreduce.Job:  map 57% reduce 0%
17/03/18 19:49:54 INFO mapreduce.Job:  map 58% reduce 0%
17/03/18 19:50:00 INFO mapreduce.Job:  map 59% reduce 0%
17/03/18 19:50:06 INFO mapreduce.Job:  map 60% reduce 0%
17/03/18 19:50:11 INFO mapreduce.Job:  map 61% reduce 0%
17/03/18 19:50:19 INFO mapreduce.Job:  map 62% reduce 0%
17/03/18 19:50:27 INFO mapreduce.Job:  map 62% reduce 3%
17/03/18 19:50:28 INFO mapreduce.Job:  map 63% reduce 3%
17/03/18 19:50:36 INFO mapreduce.Job:  map 64% reduce 3%
17/03/18 19:50:41 INFO mapreduce.Job:  map 65% reduce 3%
17/03/18 19:50:45 INFO mapreduce.Job:  map 66% reduce 3%
17/03/18 19:50:49 INFO mapreduce.Job:  map 67% reduce 3%
17/03/18 19:50:54 INFO mapreduce.Job:  map 68% reduce 3%
17/03/18 19:50:58 INFO mapreduce.Job:  map 69% reduce 3%
17/03/18 19:51:03 INFO mapreduce.Job:  map 70% reduce 3%
17/03/18 19:51:09 INFO mapreduce.Job:  map 71% reduce 3%
17/03/18 19:51:13 INFO mapreduce.Job:  map 72% reduce 3%
17/03/18 19:51:18 INFO mapreduce.Job:  map 73% reduce 3%
17/03/18 19:51:21 INFO mapreduce.Job:  map 74% reduce 3%
17/03/18 19:51:25 INFO mapreduce.Job:  map 75% reduce 3%
17/03/18 19:51:28 INFO mapreduce.Job:  map 76% reduce 3%
17/03/18 19:51:31 INFO mapreduce.Job:  map 77% reduce 3%
17/03/18 19:51:34 INFO mapreduce.Job:  map 78% reduce 3%
17/03/18 19:51:38 INFO mapreduce.Job:  map 79% reduce 3%
17/03/18 19:51:39 INFO mapreduce.Job:  map 79% reduce 7%
17/03/18 19:51:42 INFO mapreduce.Job:  map 80% reduce 7%
17/03/18 19:51:45 INFO mapreduce.Job:  map 80% reduce 10%
17/03/18 19:51:48 INFO mapreduce.Job:  map 81% reduce 10%
17/03/18 19:51:55 INFO mapreduce.Job:  map 82% reduce 10%
17/03/18 19:52:03 INFO mapreduce.Job:  map 83% reduce 10%
17/03/18 19:52:07 INFO mapreduce.Job:  map 84% reduce 10%
17/03/18 19:52:10 INFO mapreduce.Job:  map 85% reduce 10%
17/03/18 19:52:17 INFO mapreduce.Job:  map 86% reduce 10%
17/03/18 19:52:21 INFO mapreduce.Job:  map 87% reduce 10%
17/03/18 19:52:26 INFO mapreduce.Job:  map 88% reduce 10%
17/03/18 19:52:29 INFO mapreduce.Job:  map 89% reduce 10%
17/03/18 19:52:33 INFO mapreduce.Job:  map 90% reduce 10%
17/03/18 19:52:39 INFO mapreduce.Job:  map 91% reduce 10%
17/03/18 19:52:41 INFO mapreduce.Job:  map 91% reduce 13%
17/03/18 19:52:45 INFO mapreduce.Job:  map 92% reduce 13%
17/03/18 19:52:47 INFO mapreduce.Job:  map 92% reduce 17%
17/03/18 19:52:50 INFO mapreduce.Job:  map 92% reduce 20%
17/03/18 19:52:54 INFO mapreduce.Job:  map 93% reduce 20%
17/03/18 19:52:58 INFO mapreduce.Job:  map 94% reduce 20%
17/03/18 19:53:04 INFO mapreduce.Job:  map 95% reduce 20%
17/03/18 19:53:13 INFO mapreduce.Job:  map 96% reduce 20%
17/03/18 19:53:21 INFO mapreduce.Job:  map 97% reduce 20%
17/03/18 19:53:27 INFO mapreduce.Job:  map 98% reduce 20%
17/03/18 19:53:34 INFO mapreduce.Job:  map 99% reduce 20%
17/03/18 19:53:35 INFO mapreduce.Job:  map 99% reduce 23%
17/03/18 19:53:44 INFO mapreduce.Job:  map 99% reduce 27%
17/03/18 19:53:49 INFO mapreduce.Job:  map 100% reduce 27%
17/03/18 19:53:59 INFO mapreduce.Job:  map 100% reduce 30%
17/03/18 19:54:08 INFO mapreduce.Job:  map 100% reduce 33%
17/03/18 19:54:11 INFO mapreduce.Job:  map 100% reduce 34%
17/03/18 19:54:26 INFO mapreduce.Job:  map 100% reduce 35%
17/03/18 19:54:38 INFO mapreduce.Job:  map 100% reduce 36%
17/03/18 19:54:53 INFO mapreduce.Job:  map 100% reduce 37%
17/03/18 19:55:05 INFO mapreduce.Job:  map 100% reduce 38%
17/03/18 19:55:18 INFO mapreduce.Job:  map 100% reduce 39%
17/03/18 19:55:33 INFO mapreduce.Job:  map 100% reduce 40%
17/03/18 19:55:48 INFO mapreduce.Job:  map 100% reduce 41%
17/03/18 19:56:00 INFO mapreduce.Job:  map 100% reduce 42%
17/03/18 19:56:15 INFO mapreduce.Job:  map 100% reduce 43%
17/03/18 19:56:27 INFO mapreduce.Job:  map 100% reduce 44%
17/03/18 19:56:39 INFO mapreduce.Job:  map 100% reduce 45%
17/03/18 19:56:54 INFO mapreduce.Job:  map 100% reduce 46%
17/03/18 19:57:12 INFO mapreduce.Job:  map 100% reduce 47%
17/03/18 19:57:28 INFO mapreduce.Job:  map 100% reduce 48%
17/03/18 19:57:40 INFO mapreduce.Job:  map 100% reduce 49%
17/03/18 19:57:55 INFO mapreduce.Job:  map 100% reduce 50%
17/03/18 19:58:10 INFO mapreduce.Job:  map 100% reduce 51%
17/03/18 19:58:25 INFO mapreduce.Job:  map 100% reduce 52%
17/03/18 19:58:41 INFO mapreduce.Job:  map 100% reduce 53%
17/03/18 19:58:56 INFO mapreduce.Job:  map 100% reduce 54%
17/03/18 19:59:08 INFO mapreduce.Job:  map 100% reduce 55%
17/03/18 19:59:23 INFO mapreduce.Job:  map 100% reduce 56%
17/03/18 19:59:38 INFO mapreduce.Job:  map 100% reduce 57%
17/03/18 19:59:50 INFO mapreduce.Job:  map 100% reduce 58%
17/03/18 20:00:05 INFO mapreduce.Job:  map 100% reduce 59%
17/03/18 20:00:20 INFO mapreduce.Job:  map 100% reduce 60%
17/03/18 20:00:38 INFO mapreduce.Job:  map 100% reduce 61%
17/03/18 20:00:53 INFO mapreduce.Job:  map 100% reduce 62%
17/03/18 20:01:06 INFO mapreduce.Job:  map 100% reduce 63%
17/03/18 20:01:21 INFO mapreduce.Job:  map 100% reduce 64%
17/03/18 20:01:37 INFO mapreduce.Job:  map 100% reduce 65%
17/03/18 20:01:52 INFO mapreduce.Job:  map 100% reduce 66%
17/03/18 20:02:07 INFO mapreduce.Job:  map 100% reduce 67%
17/03/18 20:02:52 INFO mapreduce.Job:  map 100% reduce 68%
17/03/18 20:03:34 INFO mapreduce.Job:  map 100% reduce 69%
17/03/18 20:03:43 INFO mapreduce.Job:  map 100% reduce 100%
17/03/18 20:03:44 INFO mapreduce.Job: Job job_1488988448355_2513 completed successfully
17/03/18 20:03:44 INFO mapreduce.Job: Counters: 51
	File System Counters
		FILE: Number of bytes read=98576898
		FILE: Number of bytes written=148925540
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=1315323792
		HDFS: Number of bytes written=49
		HDFS: Number of read operations=33
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=2
		Launched map tasks=12
		Launched reduce tasks=1
		Data-local map tasks=11
		Rack-local map tasks=1
		Total time spent by all maps in occupied slots (ms)=17980028
		Total time spent by all reduces in occupied slots (ms)=3226760
		Total time spent by all map tasks (ms)=4495007
		Total time spent by all reduce tasks (ms)=806690
		Total vcore-seconds taken by all map tasks=4495007
		Total vcore-seconds taken by all reduce tasks=806690
		Total megabyte-seconds taken by all map tasks=18411548672
		Total megabyte-seconds taken by all reduce tasks=3304202240
	Map-Reduce Framework
		Map input records=80991273
		Map output records=74324416
		Map output bytes=668919744
		Map output materialized bytes=49270997
		Input split bytes=1540
		Combine input records=0
		Combine output records=0
		Reduce input groups=2
		Reduce shuffle bytes=49270997
		Reduce input records=74324416
		Reduce output records=2
		Spilled Records=222973248
		Shuffled Maps =10
		Failed Shuffles=0
		Merged Map outputs=10
		GC time elapsed (ms)=14458
		CPU time spent (ms)=3388050
		Physical memory (bytes) snapshot=8841904128
		Virtual memory (bytes) snapshot=43057713152
		Total committed heap usage (bytes)=7140278272
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1315322252
	File Output Format Counters 
		Bytes Written=49
