17/03/18 15:52:00 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/18 15:52:01 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/18 15:52:02 INFO input.FileInputFormat: Total input paths to process : 1
17/03/18 15:52:02 INFO mapreduce.JobSubmitter: number of splits:20
17/03/18 15:52:02 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_2515
17/03/18 15:52:03 INFO impl.YarnClientImpl: Submitted application application_1488988448355_2515
17/03/18 15:52:03 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_2515/
17/03/18 15:52:03 INFO mapreduce.Job: Running job: job_1488988448355_2515
17/03/18 19:28:44 INFO mapreduce.Job: Job job_1488988448355_2515 running in uber mode : false
17/03/18 19:28:45 INFO mapreduce.Job:  map 0% reduce 0%
17/03/18 19:46:05 INFO mapreduce.Job:  map 1% reduce 0%
17/03/18 19:46:16 INFO mapreduce.Job:  map 2% reduce 0%
17/03/18 19:46:26 INFO mapreduce.Job:  map 3% reduce 0%
17/03/18 19:46:38 INFO mapreduce.Job:  map 4% reduce 0%
17/03/18 19:46:47 INFO mapreduce.Job:  map 5% reduce 0%
17/03/18 19:46:59 INFO mapreduce.Job:  map 6% reduce 0%
17/03/18 19:47:08 INFO mapreduce.Job:  map 7% reduce 0%
17/03/18 19:47:18 INFO mapreduce.Job:  map 8% reduce 0%
17/03/18 19:47:29 INFO mapreduce.Job:  map 9% reduce 0%
17/03/18 19:47:40 INFO mapreduce.Job:  map 10% reduce 0%
17/03/18 19:47:56 INFO mapreduce.Job:  map 11% reduce 0%
17/03/18 19:48:17 INFO mapreduce.Job:  map 12% reduce 0%
17/03/18 19:48:32 INFO mapreduce.Job:  map 13% reduce 0%
17/03/18 19:48:41 INFO mapreduce.Job:  map 14% reduce 0%
17/03/18 19:48:51 INFO mapreduce.Job:  map 15% reduce 0%
17/03/18 19:49:01 INFO mapreduce.Job:  map 16% reduce 0%
17/03/18 19:49:11 INFO mapreduce.Job:  map 17% reduce 0%
17/03/18 19:49:21 INFO mapreduce.Job:  map 18% reduce 0%
17/03/18 19:49:33 INFO mapreduce.Job:  map 19% reduce 0%
17/03/18 19:49:44 INFO mapreduce.Job:  map 20% reduce 0%
17/03/18 19:49:55 INFO mapreduce.Job:  map 21% reduce 0%
17/03/18 19:50:04 INFO mapreduce.Job:  map 22% reduce 0%
17/03/18 19:50:13 INFO mapreduce.Job:  map 23% reduce 0%
17/03/18 19:50:30 INFO mapreduce.Job:  map 24% reduce 0%
17/03/18 19:50:42 INFO mapreduce.Job:  map 25% reduce 0%
17/03/18 19:50:52 INFO mapreduce.Job:  map 26% reduce 0%
17/03/18 19:51:04 INFO mapreduce.Job:  map 27% reduce 0%
17/03/18 19:51:13 INFO mapreduce.Job:  map 28% reduce 0%
17/03/18 19:51:22 INFO mapreduce.Job:  map 29% reduce 0%
17/03/18 19:51:34 INFO mapreduce.Job:  map 30% reduce 0%
17/03/18 19:51:49 INFO mapreduce.Job:  map 31% reduce 0%
17/03/18 19:52:02 INFO mapreduce.Job:  map 32% reduce 0%
17/03/18 19:52:11 INFO mapreduce.Job:  map 33% reduce 0%
17/03/18 19:52:19 INFO mapreduce.Job:  map 34% reduce 0%
17/03/18 19:52:22 INFO mapreduce.Job:  map 34% reduce 2%
17/03/18 19:52:27 INFO mapreduce.Job:  map 35% reduce 2%
17/03/18 19:52:28 INFO mapreduce.Job:  map 35% reduce 3%
17/03/18 19:52:35 INFO mapreduce.Job:  map 35% reduce 5%
17/03/18 19:52:38 INFO mapreduce.Job:  map 36% reduce 5%
17/03/18 19:52:49 INFO mapreduce.Job:  map 37% reduce 5%
17/03/18 19:52:51 INFO mapreduce.Job:  map 37% reduce 7%
17/03/18 19:52:54 INFO mapreduce.Job:  map 37% reduce 8%
17/03/18 19:52:56 INFO mapreduce.Job:  map 38% reduce 8%
17/03/18 19:53:03 INFO mapreduce.Job:  map 39% reduce 8%
17/03/18 19:53:11 INFO mapreduce.Job:  map 40% reduce 8%
17/03/18 19:53:18 INFO mapreduce.Job:  map 41% reduce 8%
17/03/18 19:53:21 INFO mapreduce.Job:  map 41% reduce 10%
17/03/18 19:53:27 INFO mapreduce.Job:  map 42% reduce 10%
17/03/18 19:53:30 INFO mapreduce.Job:  map 42% reduce 12%
17/03/18 19:53:37 INFO mapreduce.Job:  map 43% reduce 12%
17/03/18 19:53:43 INFO mapreduce.Job:  map 44% reduce 12%
17/03/18 19:53:50 INFO mapreduce.Job:  map 45% reduce 12%
17/03/18 19:53:56 INFO mapreduce.Job:  map 46% reduce 12%
17/03/18 19:54:01 INFO mapreduce.Job:  map 47% reduce 12%
17/03/18 19:54:06 INFO mapreduce.Job:  map 48% reduce 12%
17/03/18 19:54:11 INFO mapreduce.Job:  map 49% reduce 12%
17/03/18 19:54:17 INFO mapreduce.Job:  map 50% reduce 12%
17/03/18 19:54:22 INFO mapreduce.Job:  map 51% reduce 12%
17/03/18 19:54:27 INFO mapreduce.Job:  map 52% reduce 12%
17/03/18 19:54:34 INFO mapreduce.Job:  map 53% reduce 12%
17/03/18 19:54:40 INFO mapreduce.Job:  map 54% reduce 12%
17/03/18 19:54:45 INFO mapreduce.Job:  map 55% reduce 12%
17/03/18 19:54:51 INFO mapreduce.Job:  map 56% reduce 12%
17/03/18 19:54:59 INFO mapreduce.Job:  map 57% reduce 12%
17/03/18 19:55:04 INFO mapreduce.Job:  map 58% reduce 12%
17/03/18 19:55:09 INFO mapreduce.Job:  map 59% reduce 12%
17/03/18 19:55:15 INFO mapreduce.Job:  map 60% reduce 12%
17/03/18 19:55:20 INFO mapreduce.Job:  map 61% reduce 12%
17/03/18 19:55:25 INFO mapreduce.Job:  map 62% reduce 12%
17/03/18 19:55:30 INFO mapreduce.Job:  map 63% reduce 12%
17/03/18 19:55:35 INFO mapreduce.Job:  map 64% reduce 12%
17/03/18 19:55:41 INFO mapreduce.Job:  map 65% reduce 12%
17/03/18 19:55:49 INFO mapreduce.Job:  map 66% reduce 13%
17/03/18 19:55:57 INFO mapreduce.Job:  map 67% reduce 13%
17/03/18 19:56:04 INFO mapreduce.Job:  map 68% reduce 13%
17/03/18 19:56:12 INFO mapreduce.Job:  map 69% reduce 13%
17/03/18 19:56:21 INFO mapreduce.Job:  map 70% reduce 13%
17/03/18 19:56:30 INFO mapreduce.Job:  map 71% reduce 13%
17/03/18 19:56:38 INFO mapreduce.Job:  map 72% reduce 13%
17/03/18 19:56:47 INFO mapreduce.Job:  map 73% reduce 13%
17/03/18 19:56:54 INFO mapreduce.Job:  map 74% reduce 13%
17/03/18 19:57:00 INFO mapreduce.Job:  map 75% reduce 13%
17/03/18 19:57:06 INFO mapreduce.Job:  map 76% reduce 13%
17/03/18 19:57:11 INFO mapreduce.Job:  map 77% reduce 13%
17/03/18 19:57:17 INFO mapreduce.Job:  map 78% reduce 13%
17/03/18 19:57:25 INFO mapreduce.Job:  map 79% reduce 13%
17/03/18 19:57:28 INFO mapreduce.Job:  map 79% reduce 15%
17/03/18 19:57:33 INFO mapreduce.Job:  map 80% reduce 15%
