17/03/15 19:05:33 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 19:05:34 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 19:05:35 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 19:05:35 INFO mapreduce.JobSubmitter: number of splits:269
17/03/15 19:05:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1189
17/03/15 19:05:36 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1189
17/03/15 19:05:36 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1189/
17/03/15 19:05:36 INFO mapreduce.Job: Running job: job_1488988448355_1189
17/03/15 19:12:57 INFO mapreduce.Job: Job job_1488988448355_1189 running in uber mode : false
17/03/15 19:12:57 INFO mapreduce.Job:  map 0% reduce 0%
17/03/15 19:39:40 INFO mapreduce.Job:  map 1% reduce 0%
17/03/15 19:39:49 INFO mapreduce.Job:  map 2% reduce 0%
17/03/15 19:39:52 INFO mapreduce.Job:  map 3% reduce 0%
17/03/15 19:39:55 INFO mapreduce.Job:  map 4% reduce 0%
17/03/15 19:39:56 INFO mapreduce.Job:  map 5% reduce 0%
17/03/15 19:40:02 INFO mapreduce.Job:  map 6% reduce 0%
17/03/15 19:40:04 INFO mapreduce.Job:  map 7% reduce 0%
17/03/15 19:40:09 INFO mapreduce.Job:  map 8% reduce 0%
17/03/15 19:40:11 INFO mapreduce.Job:  map 9% reduce 0%
17/03/15 19:40:14 INFO mapreduce.Job:  map 10% reduce 0%
17/03/15 19:40:17 INFO mapreduce.Job:  map 10% reduce 3%
17/03/15 19:40:18 INFO mapreduce.Job:  map 11% reduce 3%
17/03/15 19:40:22 INFO mapreduce.Job:  map 12% reduce 3%
17/03/15 19:40:24 INFO mapreduce.Job:  map 13% reduce 3%
