17/03/15 22:11:15 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 22:11:16 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 22:11:16 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 22:11:17 INFO mapreduce.JobSubmitter: number of splits:269
17/03/15 22:11:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1249
17/03/15 22:11:18 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1249
17/03/15 22:11:18 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1249/
17/03/15 22:11:18 INFO mapreduce.Job: Running job: job_1488988448355_1249
17/03/16 01:28:24 INFO mapreduce.Job: Job job_1488988448355_1249 running in uber mode : false
17/03/16 01:28:24 INFO mapreduce.Job:  map 0% reduce 0%
17/03/16 01:31:18 INFO mapreduce.Job:  map 1% reduce 0%
17/03/16 01:31:36 INFO mapreduce.Job:  map 2% reduce 0%
17/03/16 01:31:43 INFO mapreduce.Job:  map 3% reduce 0%
17/03/16 01:31:49 INFO mapreduce.Job:  map 4% reduce 0%
17/03/16 01:31:59 INFO mapreduce.Job:  map 5% reduce 0%
17/03/16 01:32:08 INFO mapreduce.Job:  map 6% reduce 0%
17/03/16 01:32:18 INFO mapreduce.Job:  map 7% reduce 0%
17/03/16 01:32:23 INFO mapreduce.Job:  map 8% reduce 0%
17/03/16 01:32:31 INFO mapreduce.Job:  map 9% reduce 0%
17/03/16 01:32:35 INFO mapreduce.Job:  map 10% reduce 0%
17/03/16 01:32:42 INFO mapreduce.Job:  map 11% reduce 0%
17/03/16 01:32:46 INFO mapreduce.Job:  map 12% reduce 0%
17/03/16 01:32:50 INFO mapreduce.Job:  map 12% reduce 4%
17/03/16 01:32:54 INFO mapreduce.Job:  map 13% reduce 4%
17/03/16 01:33:01 INFO mapreduce.Job:  map 14% reduce 4%
17/03/16 01:33:04 INFO mapreduce.Job:  map 15% reduce 4%
17/03/16 01:33:08 INFO mapreduce.Job:  map 15% reduce 5%
17/03/16 01:33:09 INFO mapreduce.Job:  map 16% reduce 5%
17/03/16 01:33:13 INFO mapreduce.Job:  map 17% reduce 5%
17/03/16 01:33:19 INFO mapreduce.Job:  map 18% reduce 5%
